species,long_degrees,lat_degrees
mat,163.166335549421,-77.6367786962748
mat,163.182117211678,-77.6449911534244
mat,163.212036521094,-77.6201590660863
mat,163.060900711855,-77.6515319707227
mat,163.049948029078,-77.6085328491829
mat,163.21151653333,-77.6215239557765
mat,163.196907487417,-77.6357731352272
mat,163.152569968084,-77.6520697429951
mat,163.077112510979,-77.5988543805435
mat,163.106707252119,-77.6006573640274
mat,163.012254317602,-77.6093390830274
mat,163.193507433806,-77.6308967058661
mat,163.097835466019,-77.6052349931728
mat,163.275349522791,-77.6019121614162
mat,163.172212549133,-77.640317195381
mat,163.269094962468,-77.6398848066752
mat,163.089897175786,-77.6093893429399
mat,163.162031231329,-77.6360982738135
mat,163.186524059129,-77.589805461795
mat,163.241267632575,-77.6126208223672
mat,163.049197058487,-77.6034350660363
mat,163.136043750672,-77.6013053228311
mat,163.265519975995,-77.6416483080543
mat,163.297818510949,-77.6367801855677
mat,163.2499114223,-77.6160402794003
mat,163.036160350987,-77.6485872918212
mat,163.069574614856,-77.6058363870924
mat,163.166023203329,-77.6193811705388
mat,163.297617586223,-77.6301077662769
mat,163.163563310941,-77.5998616540818
mat,163.223165005968,-77.6374038349789
mat,163.322361493258,-77.5987882480064
mat,163.17861495423,-77.6494084053337
mat,163.26417888958,-77.5975968513625
mat,163.141643532536,-77.5931066467518
mat,163.059441394979,-77.6420000161618
mat,163.319294001014,-77.5959031446564
mat,163.118268295286,-77.6483689393476
mat,163.025144804273,-77.6456592188317
mat,163.108131089519,-77.6020490509058
mat,163.079026574373,-77.6211711969919
mat,163.235177238444,-77.5920698160862
mat,163.200515202989,-77.653016643323
mat,163.059805168057,-77.6520951947796
mat,163.33981050103,-77.6297644033213
mat,163.144828960294,-77.5959581290833
mat,163.171795254019,-77.6463282433419
mat,163.040759568164,-77.6489192025374
mat,163.292393620115,-77.6173797712477
mat,163.184490661436,-77.6459242071059
mat,163.115527696456,-77.5974072306238
mat,163.022518322043,-77.6414767392733
mat,163.096323779692,-77.6345529221487
mat,163.29861878459,-77.6224513415874
mat,163.040439798304,-77.6332690570837
mat,163.347543955885,-77.6243456503142
mat,163.234406137979,-77.6223298493659
mat,163.224400011858,-77.6132909692249
mat,163.105351349854,-77.6037372956369
mat,163.138667850092,-77.6302921901764
mat,163.21933063724,-77.6181001835543
mat,163.265951707266,-77.6119833530709
mat,163.306501586223,-77.6136440023435
mat,163.155572296473,-77.6403530681094
mat,163.032103871001,-77.6132124804994
mat,163.26474995061,-77.62107297942
mat,163.06480408472,-77.649420635408
mat,163.202825065067,-77.5835150384405
mat,163.21210135096,-77.582006507346
mat,163.234777950274,-77.609540755767
mat,163.17967580981,-77.5860968851593
mat,163.051228597604,-77.6472022566001
mat,163.157386483809,-77.6458655042751
mat,163.234420684418,-77.6291078134615
mat,163.114090380178,-77.6032126202695
mat,163.155575284228,-77.6014328698617
mat,163.032533411241,-77.6303294766503
mat,163.336841742852,-77.6095488971685
mat,163.318496378648,-77.6069128997155
mat,163.218983401333,-77.592701756828
mat,163.126890301875,-77.6462024156445
mat,163.198094831458,-77.619172455696
mat,163.020606661139,-77.6360338838504
mat,163.242490124779,-77.5871102600962
mat,163.107386375297,-77.6065239798169
mat,163.178781739577,-77.6390312073923
mat,163.222755707126,-77.6298590220094
mat,163.331791113531,-77.6156530793911
mat,163.186427668209,-77.6284469534431
mat,163.282165319599,-77.6320674025445
mat,163.208851363752,-77.6158408770264
mat,163.137731640179,-77.6415458501655
mat,163.138654742811,-77.6265539702688
mat,163.04566528346,-77.6294410821742
mat,163.183683258315,-77.6512032947401
mat,163.203233982441,-77.6269060728698
mat,163.153949243337,-77.6014397562317
mat,163.266274440684,-77.597412431136
mat,163.335955249406,-77.6119291324006
mat,163.286894347903,-77.5986784762135
mat,163.060304621152,-77.6251923231343
mat,163.133699036816,-77.5969479521522
mat,163.042127904603,-77.6045102517553
mat,163.193386423904,-77.639911188162
mat,163.080995636654,-77.644046817248
mat,163.230714605956,-77.6145902198356
mat,163.335666780071,-77.5923643780774
mat,163.288203628611,-77.597169917721
mat,163.054353227157,-77.6435918047355
mat,163.06193816809,-77.6059710328165
mat,163.225153188632,-77.6393864117502
mat,163.184607561306,-77.6177988575843
mat,163.203939793114,-77.6376638460016
mat,163.272684209989,-77.6029028996508
mat,163.015575364978,-77.60813892592
mat,163.143071332507,-77.5998784663333
mat,163.134792097308,-77.600052800977
mat,163.312024602534,-77.6181945540908
mat,163.176260172401,-77.5895355359149
mat,163.334942498634,-77.6253858354338
mat,163.250379503889,-77.6174706136523
mat,163.051409996425,-77.6162830433477
mat,163.118744779757,-77.6335886685922
mat,163.090746679149,-77.6454405183389
mat,163.168995557502,-77.6250632727471
mat,163.039470280424,-77.6392817471583
mat,163.145126769833,-77.5902970582858
mat,163.196019360122,-77.5922445196074
mat,163.22126261691,-77.6379713484989
mat,163.082176906236,-77.6123547369796
mat,163.240057865087,-77.6300605647804
mat,163.049703094806,-77.652378667538
mat,163.005881148474,-77.6069870278532
mat,163.11643787372,-77.6369869790838
mat,163.056232329833,-77.6329639400978
mat,163.164503763954,-77.5924509115453
mat,163.061185259958,-77.6529632566545
mat,163.267594538197,-77.6089011217266
mat,163.327033077462,-77.6291978392101
mat,163.038354012568,-77.6455046050424
mat,163.065843939396,-77.6270922654775
mat,163.199854142923,-77.6495257504682
mat,163.202630569066,-77.6410236477955
mat,163.028451156254,-77.6421881527818
mat,163.142197894222,-77.6260849973528
mat,163.011003219346,-77.6383054500842
mat,163.157623528846,-77.5989436320095
mat,163.321901329996,-77.6067916019575
mat,163.32794792278,-77.6131910987067
mat,163.058156676089,-77.6035751303655
mat,163.291498949859,-77.6371944378509
mat,163.1747846037,-77.5876552784009
mat,163.148611818542,-77.5946495366101
mat,163.101681198427,-77.6509865924922
mat,163.22217468659,-77.6272412598798
mat,163.282028451129,-77.6339198073029
mat,163.168982325867,-77.6441741477872
mat,163.061238475307,-77.6015368539563
mat,163.013919618115,-77.6481465485583
mat,163.10904330518,-77.6050149672536
mat,163.084292042634,-77.6463046492106
mat,163.180124662876,-77.6376977850568
mat,163.024178934413,-77.6058708691417
mat,163.280236553256,-77.6051735113008
mat,163.105608606193,-77.5937094152714
mat,163.326603816436,-77.6174253131248
mat,163.154743957467,-77.5906058359799
mat,163.194457512697,-77.652868449131
mat,163.234850827957,-77.5937133932002
mat,163.078118003975,-77.6048944060051
mat,163.184553071476,-77.5878575328617
mat,163.175721262365,-77.5907257378851
mat,163.249548103623,-77.6172997278087
mat,163.300801804031,-77.608919506238
mat,163.323620202056,-77.626209598032
mat,163.239074958043,-77.6267109404122
mat,163.052358146877,-77.6003834424535
mat,163.169358913743,-77.5922204934805
mat,163.308341443313,-77.5922174489905
mat,163.018333605797,-77.6462086890502
mat,163.169427966471,-77.6314549857186
mat,163.241852907444,-77.6333715617819
mat,163.169428935258,-77.6472118045249
mat,163.186394237102,-77.5953261755357
mat,163.307795917563,-77.6339025652642
mat,163.079367400886,-77.6137633211674
mat,163.203977771749,-77.6159672294418
mat,163.286383879361,-77.5905051804549
mat,163.24655775512,-77.5953720714214
mat,163.080808277172,-77.6134781275321
mat,163.285904704444,-77.5985433907015
mat,163.319010676752,-77.5947515176322
mat,163.230357621978,-77.6175965171271
mat,163.172121023018,-77.5904617515273
mat,163.017239081339,-77.6085868927854
mat,163.224945103546,-77.5938279784292
mat,163.319580854068,-77.6218966526893
mat,163.168219753748,-77.6535057233764
mat,163.326352743122,-77.6057916883318
mat,163.042316067077,-77.6067803751156
mat,163.229758260167,-77.6364309297475
mat,163.244558114647,-77.6343375349364
mat,163.311569315982,-77.5966741528356
mat,163.176857740954,-77.6254837041979
mat,163.27267749388,-77.5915827801773
mat,163.158885714144,-77.5949903513551
mat,163.259221576813,-77.6325583927248
mat,163.175423945059,-77.5858008323065
mat,163.171051059071,-77.6505938108985
mat,163.239919593355,-77.6435124701755
mat,163.233001712251,-77.58977374755
mat,163.244943768678,-77.6267191993471
mat,163.326681210529,-77.6073623669543
mat,163.26384433825,-77.6153122931502
mat,163.234228695419,-77.5823962257487
mat,163.275877018719,-77.6055083891056
mat,163.164506204158,-77.6364021811532
mat,163.167046872632,-77.6356576615098
mat,163.312112938071,-77.6283964057266
mat,163.034717306329,-77.6489071752466
mat,163.284003307078,-77.6309057892383
mat,163.135569902963,-77.6032637723052
mat,163.273416711805,-77.6294180142047
mat,163.246298310326,-77.5911107742875
mat,163.022075900885,-77.632045706468
mat,163.11420965226,-77.6486300506542
mat,163.342583783453,-77.6130146707533
mat,163.28408512866,-77.6030241462224
mat,163.157728720144,-77.6371995843411
mat,163.237538525976,-77.6226999955471
mat,163.160718600487,-77.6536424380257
mat,163.296526157625,-77.6148096236113
mat,163.151887510483,-77.6499763753603
mat,163.158592487591,-77.6182948048954
mat,163.178366460067,-77.5912034350649
mat,163.341264676682,-77.6281151036799
mat,163.248397749055,-77.6155580675771
mat,163.006265774812,-77.6056929898634
mat,163.337711856804,-77.6253722882052
mat,163.262863350356,-77.6249948397641
mat,163.148274030403,-77.5998566033859
mat,163.048133569622,-77.6316675395391
mat,163.31987777482,-77.599918344696
mat,163.344026056651,-77.6127979332657
mat,163.145165646364,-77.6389644105397
mat,163.216202907264,-77.5857964567016
mat,163.147753188903,-77.6280182014188
mat,163.040479931254,-77.6416186248807
mat,163.332373458864,-77.6288224565467
mat,163.211370201573,-77.6368973321291
mat,163.26881255273,-77.6258058016757
mat,163.226009583536,-77.5897354297229
mat,163.239905251015,-77.587261793393
mat,163.147436017004,-77.6405969457523
mat,163.28257632362,-77.5946109794379
mat,163.167708609202,-77.6480227133481
mat,163.285532091298,-77.6219542299419
mat,163.017889411986,-77.6467693152007
mat,163.346377032477,-77.5876297423028
mat,163.229787473661,-77.608445272595
mat,163.142576491626,-77.594430347283
mat,163.051176709919,-77.6485300314341
mat,163.060305601007,-77.6059075112859
mat,163.099129277884,-77.6014216874221
mat,163.250572771427,-77.5965066459654
mat,163.106396303882,-77.6452030034238
mat,163.207481914858,-77.5982032826929
mat,163.113970179181,-77.5981822100111
mat,163.039058804957,-77.60281009741
mat,163.125558871935,-77.6022921032448
mat,163.339938245529,-77.6065288970261
mat,163.238089828326,-77.5836714100774
mat,163.297036809165,-77.6024038252911
mat,163.323572417961,-77.6319399017935
mat,163.060741809895,-77.6380821122708
mat,163.342260981583,-77.6282849097462
mat,163.238176249962,-77.622557351879
mat,163.306144641115,-77.6070771411336
mat,163.332773526237,-77.6295192973114
mat,163.129200988833,-77.5975605522963
mat,163.04693683742,-77.6270954935363
mat,163.135380145333,-77.639005210458
mat,163.089971663355,-77.6421595647897
mat,163.307611503687,-77.6055327880849
mat,163.224392465204,-77.5914896084475
mat,163.236202096667,-77.6389174321172
mat,163.015049105794,-77.6439500640715
mat,163.345617857332,-77.613978040205
mat,163.208910225522,-77.5876806373053
mat,163.03657917761,-77.6299648016446
mat,163.316268089054,-77.5934021455313
mat,163.224574564146,-77.6083988450759
mat,163.037715296118,-77.6101867069175
mat,163.181532091197,-77.6318571180405
mat,163.189238621095,-77.6477902528064
mat,163.244393624311,-77.6458330324363
mat,163.231572955973,-77.6150405453888
mat,163.146062182483,-77.6505598237824
mat,163.086274270708,-77.644689705173
mat,163.090609191906,-77.5988356571607
mat,163.118291431406,-77.6266730146232
mat,163.032228582057,-77.610766492976
mat,163.280022350713,-77.6398338821433
mat,163.328624191984,-77.6165070606829
mat,163.299262815868,-77.6019040805702
mat,163.095050239244,-77.5956735607903
mat,163.061227452209,-77.6091180606479
mat,163.058864412557,-77.6390326671531
mat,163.210376453801,-77.5995530258281
mat,163.277025205774,-77.5911781094427
mat,163.196546555702,-77.6217297057809
mat,163.218168082175,-77.5893164138728
mat,163.253098430088,-77.6414609247491
mat,163.230640077203,-77.5905530668206
mat,163.089093798231,-77.6207818697633
mat,163.22212964634,-77.6217561729873
mat,163.115623767962,-77.6058266146607
mat,163.168053445708,-77.588662475877
mat,163.297231836137,-77.6027173491646
mat,163.280704182043,-77.6241431237071
mat,163.052659957938,-77.6001027882805
mat,163.185049380579,-77.5931309556751
mat,163.114419635684,-77.6289597308861
mat,163.089925833687,-77.6059654458488
mat,163.325390587729,-77.5997518415019
mat,163.26220867608,-77.5957891745783
